mbirmi,tëggin,xeet,nettalin_fr,nettalin_wo
rattax,[rʌt:ʌx],verbe transitif,,Rattax na ko pes.
rattaxal,[rʌt:ʌxʌl],verbe transitif,,
raw,[rʌw],verbe transitif,,"Raw na ma benn yoon, ma raw ko ñaari yoon."
raw,[rʌw],nom,anatomie,
raw,[rʌw],verbe transitif,,"Teen bi raw nañu ko, léegi bari na ndox."
raw,[rʌw],nom,couture,Gii raw dëgër na.
raw,[rʌw],verbe transitif et intransitif,couture,"Dafa doon raw, léegi noppi na."
rawante,[rʌwʌnte],nom,,Rawante bi neex na.
rawante,[rʌwʌnte],verbe intransitif,,Xale yi dañuy rawante.
rawatina,[rʌwʌtinʌ],adverbe,,Begguma koo jox dara rawatina bi mu may foontoo.
rax,[rʌx],verbe intransitif,,Fetal gi dafa jekki-jekki rax.
rax,[rʌx],verbe transitif,,Yow de rax nga ndox ci meew mi.
raxas,[rʌxʌs],verbe transitif,,Dafa doon raxas bool yi.
raxasu,[rʌxʌsu],nom,,Demal tanq ndoxum raxasu.
raxasu,[rʌxʌsu],verbe intransitif,,Raxasul te ñów.
raxe,[rʌxe],verbe transitif,,Dafa raxe dugub ja ag ceeb ba.
raxla,[rʌxlʌ],nom,,Kooka aw raxla la.
ray-ray,[rʌjrʌj],nom,,Ray-ray ji metti na.
ray-ray,[rʌjrʌj],nom,textiles,Mbubbum ray-ray la sol.
ray-rayi,[rʌjrʌji],verbe intransitif,,Poñet maa ngiy ray-rayi.
ràbb,[rab:],nom,,Mataar Gise ab ràbb la.
ràbb,[rab:],nom,,Sa ràbb gi rafet na.
ràbb,[rab:],verbe transitif,,Ràbb na sor bu rafet.
ràbbu,[rab:u],nom,outil,Demal Sooda abal ma ag ràbbu.
ràcc,[rac:],verbe transitif,,"Ràcc naa laax bi, léegi mu sedd."
ràgg,[rag:],adjectif,,Ndaw soosu dafa ràgg lool.
ràgg,[rag:],nom,médical,
ràgg,[rag:],verbe intransitif,médical,
ràggal,[rag:ʌl],verbe transitif,,
ràggloo,[rag:lɔ:],verbe transitif,,
ràkkal,[rak:ʌl],nom,,
ràkkal,[rak:ʌl],verbe transitif,,Tuuti la ràkkal ci gerteem.
ràkkatikoo,[rak:ʌtikɔ:],verbe intransitif,,"Dóor nga ma, feyyu naa, léegi ràkkatikoo nanu."
ràkkatiku,[rak:ʌtiku],verbe intransitif,médical,"Moom dey, ba ñu ko yóbboo lopitaan, dafa faf ràkkatiku."
ràkkaaju,[rak:a:ɉu],verbe intransitif,médical,Watul dof bi dafa ràkkaaju.
ràllu,[ral:u],nom,,
ràllu,[ral:u],verbe transitif et intransitif,,Ràllu rekk nga nekke.
ràllukat,[ral:ukʌt],nom,,
ràmbal,[rambʌl],verbe transitif,équitation,Fas wi neex na ràmbal.
ràmm,[ram:],nom,médical,
ràmm,[ram:],verbe intransitif,médical,
ràndaŋ,[randʌŋ],verbe qui s'emploie avec “ne”,,"Dégluleen, am ndënd née na ràndaŋ."
ràng,[raŋg],nom,botanique,Ràng la ñage këram.
ràng,[raŋg],nom,,
ràngu,[raŋgu],verbe transitif,,Ciy téeréem la ràngu.
ràññ,[raɲ:],verbe qui s'emploie avec “ne”,,Làmp yaa ngi né ràññ.
ràññee,[raɲ:e:],verbe transitif,,Ràññee na ko ci xale yi.
ràññeeku,[raɲ:e:ku],adjectif,,Nit ku ràññeku la woon.
ràññi,[raɲ:i],verbe transitif,,
ràŋŋati,[raŋ:ʌti],verbe transitif,,Dég-dég booboo ko ràŋŋati.
ràŋŋati,[raŋ:ʌti],verbe transitif,,Dég-dég booboo ko ràŋŋati.
ràpp,[rap:],adjectif,,"Sa dàll yi ràpp nañu, wutal yeneen."
ràpp,[rap:],verbe qui s'emploie avec “ne”,,Né naa ko ràpp dem.
ràww,[raw:],verbe qui s'emploie avec “ne”,,Atte nañu ko ba né ko ràww ci kaso.
ràyy,[raj:],verbe qui s'emploie avec “ne”,,Melax gi né na ràyy.
raab,[ra:b],verbe transitif,,Raab na ba mu ngay tóx.
raadu,[ra:du],verbe transitif,agriculture,Demal raadu sa toolu baay.
raaf,[ra:f],verbe intransitif,,Redd wi raaf na.
raag,[ra:g],verbe transitif,,
raakam-raakami,[ra:kʌmra:kʌmi],verbe intransitif,,Lu muy raakam-raakami nii ?
raam,[ra:m],nom,,Sa doom jaa ngi ci raam bi batey ?
raam,[ra:m],verbe intransitif,,Xale baa ngiy raam.
raas,[ra:s],verbe transitif,,"Faatu raas na tool ba, màngo jaa ngi nii."
raatale,[ra:tʌle],verbe transitif,,Xale bi raatale na laax bi ci dënnam bi.
raataloo,[ra:tʌlɔ:],adjectif,,"Moom, dafa raataloo lool."
raatukaan,[ra:tuka:n],adjectif,,"Mënatula tóog, dafa raatukaan."
raax,[ra:x],verbe transitif et intransitif,bâtiment,"Bu noppee raax, ma sant ko pentuur bi."
raax,[ra:x],nom,bâtiment,
raay,[ra:j],nom,,"Balanga jéggi raay bi, xoolal sa ndeyjoor ag sa càmmooñ."
raay,[ra:j],verbe transitif,,Raay na ko ba mu nelaw.
raaya,[ra:jʌ],nom,,Ku yor raaya wi ?
raaytal,[ra:jtʌl],verbe transitif,agriculture,Mëdun a ngiy raaytal toolam.
reb-rebi,[rebrebi],verbe intransitif,,
reg-regi,[regregi],verbe intransitif,,Dafa tiit bay reg-regi.
regej,[regeɉ],nom,ichtyologie,
regeju,[regeɉu],verbe transitif et intransitif,,Looy regeju nii ?
regle,[regle],verbe transitif,mécanique,"Regleel montar bi, dafa tarde."
regle,[regle],adjectif,,"Ku regle la, afeeram a ngiy dox."
regle,[regle],nom,commerce,"Regle bi jeex na tey, ëllëg dina ubbi."
regle,[regle],verbe transitif,commerce,"Bitig bi ubbiwul tey, dañuy regle."
regg,[reg:],adjectif,,"Jëré-jëf ci añ bi, regg naa."
rekk,[rek:],adverbe,,Lii rekk la ?
rekku,[rek:u],verbe transitif,,A ― Lii rekk nga may may ? B ― Tàmm nga lu ñu la may nga rekku ko.
remm,[rem:],verbe qui s'emploie avec “ne”,,Géej ngaa ngi né remm.
ren,[ren],nom,,Ñów na ren.
rendi,[rendi],verbe transitif,,Rendi na xar mi.
repp,[rep:],adjectif,,Ku repp doŋŋ mooy dem ci béréb boobu.
res,[res],nom,anatomie,
rett,[ret:],verbe qui s'emploie avec “ne”,,Dafa né rett taxaw.
rew,[rew],nom,médical,Rew du raaf.
rew,[rew],verbe transitif,,Dama doon rew njombor gi.
rewle,[rewle],verbe transitif,médical,
rewli,[rewli],verbe transitif et intransitif,médical,Faamaa ko rewli.
rex-rexi,[rexrexi],verbe intransitif,,Fekk naa ko muy rex-rexi.
rey,[rej],verbe transitif,couture,Rey naa picc mu weex.
ree,[re:],verbe transitif et intransitif,,Xale baa ngiy ree.
reefan,[re:fʌn],nom,outil,Demal ne sa nijaay mu abal ma reefan.
reefo,[re:fɔ],nom,,Reefoom a ñów.
reelu,[re:lu],adjectif,,Aka reelu !
reen,[re:n],nom,,Dogal reen bi.
reer,[re:r],nom,,Reer bi pare na.
reer,[re:r],verbe intransitif,,Reer na banoppi.
rees,[re:s],verbe intransitif,médical,Xamuma lu ma jot ; lu ma lekk du rees.
reetaan,[re:ta:n],verbe transitif,,Buleen ko reetaan.
reeteet,[re:te:t],nom,ornithologie,
reew,[re:w],adjectif,,"Xale bu reew la, bu ko may dara."
reewande,[re:wʌnde],nom,,
reewu,[re:wu],nom,anatomie,"Mbëkk la ko teg, ñaari reewu wadd."
rébbi,[reb:i],verbe transitif,,Woy ! rébbi naa lu bon.
réccu,[rec:u],nom,,
réccu,[rec:u],verbe transitif,,Réccu naa li ma doon waxe.
récculoo,[rec:ulɔ:],verbe transitif,,
réll,[rel:],verbe qui s'emploie avec “ne”,,Bal bi née na réll.
rémb,[remb],verbe intransitif,habillement,Sa tubéy ji daf laa rémb.
rénk,[reŋk],adjectif,physiologie,Xale bi dafa rénk.
rés,[res],verbe qui s'emploie avec “ne”,,Car bi dafa né rés ci kow taax mi.
résëti,[resəti],verbe transitif,,Bu ma résëti.
réy,[rej],adjectif,,Sa xar mi réy na.
réy,[rej],nom,,Réyam gi dina sànk bés.
réer,[re:r],verbe intransitif,,Sama doom dafa réer ci yoon wi.
réew,[re:w],nom,géographie,Reew mii bari na yëngu.
rëbb,[rəb:],nom,,Rëbb bi jaay na ma ñaari cokeer.
rëbb,[rəb:],nom,,Saw rëbb mi duunul tey.
rëbb,[rəb:],verbe transitif et intransitif,,"Ci Senegaal, boo bëggee rëbb mbaam-àll, demal Waalo."
rëcc,[rəc:],verbe intransitif,,Fas wi rëcc na.
rëdd,[rəd:],nom,,Sa rëdd wi dafa dëng.
rëdd,[rəd:],verbe intransitif,,Rëdd na ci kayit wi.
rëf-rëfi,[rəfrəfi],verbe intransitif,,Sama xol baa ngiy rëf-rëfi rekk.
rëg-rëgi,[rəgrəgi],verbe intransitif,,Asamaan saa ngiy rëg-rëgi.
rëkk,[rək:],nom,,
rëkk,[rək:],verbe transitif,,Boo ko rëkkee mu feyyu.
rëkk,[rək:],adverbe,,Sama kër a ngi sës rëkk ci jàkka ji.
rëmm,[rəm:],verbe qui s'emploie avec “ne”,,Géej gaa ngi né rëmm.
rënd,[rənd],nom,comestible,
rënd,[rənd],verbe transitif et intransitif,culinaire,
rëng-rëngi,[rəŋgrəŋgi],verbe intransitif,,Kubéer gaa ngiy rëng-rëngi.
rënk,[rəŋk],verbe transitif,,Rënk na màngo bi.
rëññéel,[rəɲ:e:l],verbe transitif,,Rëññéel na lal bi.
rëpp,[rəp:],verbe transitif,culinaire,Rëpp na pullóox bi.
rëpp,[rəp:],verbe intransitif,,Dafa rëpp ba yegg.
rëppeel,[rəp:e:l],verbe transitif,lutte,Daanu ko dafa koo rëppeel.
rëppeelu,[rəp:e:lu],verbe intransitif,lutte,Dafa rëppeelu daanuwul.
rëpptal,[rəp:tʌl],verbe intransitif,équitation,Dama doon rëpptal sama fas.
rëpptal,[rəp:tʌl],nom,équitation,
rëq,[rəq],verbe intransitif,médical,Sama loxo dafa rëq.
rëq-rëq,[rəqrəq],nom,médical,Sama rëq-rëq bi metti na.
rës,[rəs],verbe intransitif,médical,Lal bi rës na.
rës,[rəs],verbe qui s'emploie avec “ne”,,
rët,[rət],verbe intransitif,,Nit ku gaawa rët la.
rëy,[rəj],adjectif,,
ribóo,[ribo:],verbe intransitif,,Nun warunoo defante lu bon ndax sunuy maam dañoo ribóowoon.
riddi,[rid:i],verbe intransitif,,Dafa ma gis rekk riddi.
riddi,[rid:i],verbe transitif,,"Riddi na saaku ba, du daanu."
riggël,[rig:əl],verbe intransitif,,Taw bi riggël na léegi.
riggi,[rig:i],verbe intransitif,agriculture,
rijji,[riɉ:i],verbe transitif et intransitif,agriculture,
rikk,[rik:],interjection,,Rikk ! demal !
rimb,[rimb],verbe transitif,,Rimbal laax bi jox njulli yi.
rindi,[rindi],verbe transitif,,
rink,[riŋk],verbe intransitif,,
riñaan,[riɲa:n],verbe intransitif,,
riñaan,[riɲa:n],nom,,
ripp,[rip:],adverbe,,Mungi taq ripp!
ritax,[ritʌx],adjectif,,
rittax,[rit:ʌx],adjectif,,
riig,[ri:g],verbe transitif,,Dafa riig xale bi ca suba batey.
riij,[ri:ɉ],verbe transitif,,Riijal gerte gi nga defar njinde-jóob.
riij,[ri:ɉ],verbe intransitif,musique,"Maa ngiy riij, feccal."
riime,[ri:me],verbe transitif,,Riime naa móol ya.
riir,[ri:r],nom,,Riirum géej gi agsi na ba ci biir dëkk bi.
riir,[ri:r],verbe intransitif,,Oto baa ngiy riir.
riisu,[ri:su],verbe transitif,,Xar maa ngiy riisu garab gi.
riiti,[ri:ti],nom,musique,
riiti,[ri:ti],verbe intransitif,musique,
riixle,[ri:xle],verbe transitif,,Dama riixleeg moom ba yegg.
rob,[rɔb],nom,,Rob bi ñówagul.
rob,[rɔb],verbe transitif,,Démb lañu ko rob.
robine,[rɔbine],nom,,
robb,[rɔb:],nom,habillement,Sa robb bi rafet na.
rocci,[rɔc:i],verbe transitif,,Bul rocci pont bi.
rodd,[rɔd:],verbe transitif,,Bant a ko rodd ci baraam.
rodd,[rɔd:],verbe qui s'emploie avec “ne”,,Mungi né rodd ci bopp koñ bi di xaar xaritam.
rogal,[rɔgʌl],verbe transitif,blanchissage,"Bul wañ pilliweer bi, danga koy fëgg te rogal ko."
rogaat,[rɔgʌ:t],verbe intransitif,,Ndox maa ngiy rogaat.
roggandaay,[rɔg:ʌda:j],nom,,
roggandi,[rɔg:ʌndi],verbe transitif,,Bul dem te roggandiwoo xale bi de.
rogganti,[rɔg:ʌnti],verbe transitif,,
romb,[rɔmb],verbe transitif,,Romb naa sa rakk-bu-jigéen mu tóog di jàng.
romb-jaan,[rɔmbɉa:n],nom,artisanat,
rombal-mbànd,[rɔmbɔlmband],verbe transitif,économie familiale,Dafa rombal-mbànd mbubbam mi.
rombul-gale,[rɔmbulgʌle],nom,,Sa xarit bi am rombul-gale la.
rompe,[rɔmpe],verbe intransitif,,Nit ña rompe nañu.
ron,[rɔn],nom,botanique,Bantu ron dëgër na.
ron,[rɔn],nom,botanique,Demal lakki ron.
ron,[rɔn],nom,,Mungi toog ci ron garab gi.
ronu,[rɔnu],verbe transitif,,Ronu na garab gi.
ronni,[rɔn:i],verbe transitif,,Looy ronni xale bi nii ?
rond,[rɔnd],verbe intransitif,,Rondi na ba ñów.
rongooñ,[rɔŋgɔ:ɲ],nom,,Fompal sa rongooñ yi.
ronqi,[rɔŋqi],verbe transitif,,Bul ronqi safara si yépp.
roñ,[rɔɲ],verbe transitif,,Roñleen siis yépp.
roño,[rɔɲɔ],nom,anatomie,
roñu,[rɔɲu],verbe intransitif,,Démb lanu roñu.
roppëlaan,[rɔp:əla:n],nom,aviation,
roppi,[rɔp:i],verbe transitif,,Roppi na paaka bi ci mbaram.
roq,[rɔq],nom,outil,Ab roq la dajalee sidéem yi nekkoon ci toolam.
roq,[rɔq],nom,anatomie,Fekk naa ñaari per ci roq bi.
rot,[rɔt],verbe intransitif,,Sama mbaxana rot na.
roy,[rɔj],verbe transitif,,Bàyyil lu ma def nga roy ko.
royaal,[rɔja:l],nom,,Lii di royaal rekk.
roof,[rɔ:f],verbe transitif,culinaire,Roof na bant ci néeg bi.
roof,[rɔ:f],nom,culinaire,Loo def ci sa roof bi?
roose,[rɔ:se],nom,agriculture,Demal roose ñaari taati màngo yee.
root,[rɔ:t],verbe transitif et intransitif,,Root na ba ndaa li fees.
root,[rɔ:t],verbe transitif,,Sama xel root na buyàgg li ma wara toontu.
róogu,[ro:gu],verbe intransitif,habillement,Gis naa ko démb mu róogu ba fees.
róon,[ro:n],verbe transitif,ethnologie,Dafa doon róon doom ji.
róox,[ro:x],verbe transitif,,
róoxu,[ro:xu],nom,outil,
ruccamti,[ruc:ʌmti],verbe transitif,,
ruccanti,[ruc:ʌnti],verbe transitif,,
rucci,[ruc:i],verbe transitif,,
rukk,[ruk:],verbe transitif,minoterie,
rukkóo,[ruk:o:],nom,religion,Jullig timis juróom benni rukkóo la.
rumm,[rum:],nom,entomologie,Xaj baa ngi fees dell ag rumm.
rummi,[rum:i],verbe transitif,,"Soxlawul nga di ma rummi, ragaluma la."
rung,[ruŋg],nom,,
rung,[ruŋg],verbe intransitif,,"Bàyyi ma ma rung, paas bi dafa jafe."
runge,[ruŋge],verbe intransitif,,"Sar yi dañoo nuróo, mootax may runge."
ruq,[ruq],nom,,Dugal ci ruq bi.
ruqu,[ruqu],adjectif,,Seen kër na mu ruqe!
rus,[rus],verbe intransitif,,"Bi sa baay déggee li nga def, rus na lool."
ruy,[ruj],verbe intransitif,,
ruy,[ruj],nom,culinaire,Ruy lu baax la ci kuy nàmpal.
ruy,[ruj],verbe intransitif,culinaire,
ruu,[ru:],nom,,Ruu gi Yàlla ko yor.
ruu,[ru:],nom,,Ndeke am nay oto ñetti ruu.
ruuj,[ru:ɉ],nom,agriculture,Sa ruuj bi set na.
ruuj,[ru:ɉ],verbe transitif,agriculture,War ngaa ruuj sa tool bi.
ruum,[ru:m],nom,,Baleel ruum bi ba mu set.
ruumandaat,[ru:mʌnda:t],verbe intransitif,,
ruuñ,[ru:ɲ],nom,culinaire,
ruur,[ru:r],verbe transitif,agriculture,Sa nag yi ruur nañu sama tool.
ruus,[ru:s],verbe intransitif,agriculture,Mango gi ruus na.
ruux,[ru:x],verbe transitif,,Mungiy ruux soow mi.
ruux,[ru:x],verbe intransitif,médical,Sama tànk yi dañuy ruux.
ruuxu,[ru:xu],nom,outil,Ruuxu gi damm na.
sa,[sʌ],verbe intransitif,mettre en place les pions d’un jeu,"Sa naa ba-noppi, ayca."
sa,[sʌ],verbe transitif,"faire apprendre par répétition, dicter",Bindal li ma lay sa.
sab,[sʌb],verbe intransitif,"crier, chanter en parlant des oiseaux, gazouiller",Bu ganaar sabee nga dem.
sabab,[sʌbʌb],verbe transitif,être à l’origine de,Lu sabab naqarig jamano ji ?
sabab,[sʌbʌb],nom,origine,Xam nga sabab si de.
sabadoor,[sʌbʌdɔ:r],nom,sorte de caftan,Sabadoor bu set la sol.
sabar,[sʌbʌr],nom,tambour long que l’on maintient au niveau des hanches,Tegal sabar gi ci suuf.
sabaru,[sʌbʌru],verbe intransitif,organiser une danse animée par un “sabar”,Tey janq ji dañuy sabaru.
sabaar,[sʌba:r],nom,grosse gerbe de mil,Sabaar bii diis na.
sadd,[sʌd:],verbe,"incurver, courber, former une boursouflure",Sa kanam gi dafa sadd tey.
saddu,[sʌd:u],nom,marteau,Jox ma saddu gi.
saf,[sʌf],verbe transitif,"avoir de la saveur, avoir le goût de, être bien relevé",Soow mi saf na suukar.
safara,[sʌfʌrʌ],nom,feu,Safara wi leeral na fépp.
safaan,[sʌfa:n],nom,"le contraire, l’inverse",Li ma wax luy safaanam ?
safaanoo,[sʌfa:nɔ:],verbe intransitif,"être divergent, contraire",Sunuy wax dañu safaanoo.
sag,[sʌg],nom,honneur,Damay sàmm sama sag.
sagar,[sʌgʌr],nom,"haillon, chiffon, guenille",Ay sagar la limboo.
sagar,[sʌgʌr],nom,morceau d’étoffe,Jox ma sagar woowu.
sago,[sʌgɔ],nom,"sang-froid, maîtrise de soi",Moom am na sago lool.
sagu,[sʌgu],verbe intransitif,montrer une certaine réserve,"Bëgg na ko lool, waaye dafay sagu."
sajj,[sʌɉ:],verbe transitif,"courber, plier légèrement",Sajj na bant bi.
sajjaada,[sʌɉ:a:dʌ],nom,natte de prière,Lalal sajjaada gi.
saku,[sʌku],nom,,
sakk,[sʌk:],verbe transitif,boucher de sable (un trou),Sakk na pax mi.
sakkan,[sʌk:ʌn],verbe,"prendre du volume, de la dimension",Ceeb bi sakkan na.
salaan,[sʌla:n],nom,euphorie du Cayor (Euphorbia balsamifera) A.T,Salaan la ñage toolam.
salaat,[sʌla:t],nom,salade,Faama jaay na salaat su bari ren.
sali,[sʌli],nom,poisson séché et salé,Ndar dinañu fa defar sali.
salté,[sʌlte],verbe,être sale,Sa loxo yi salté nañu lool.
salté,[sʌlte],nom,saleté,Dindil salte bi.
saltigé,[sʌltige],nom,"chef de guerre, devin","Nawet baa ngi jub, saltigé yi daje nañu."
salliir,[sʌl:i:r],nom,grillon,Kër gaa ngi fees dell ag i salliir.
salliiru,[sʌl:i:ru],verbe intransitif,pousser un cri strident,"Sa doom jaa daanu, di salliiru."
sam,[sʌm],verbe intransitif,s’agglutiner,Yamb yi sam nañu ci kowam.
sammar,[sʌm:ʌr],verbe transitif et intransitif,faire frémir (le thé),Attaya dañu koy sammar.
sambal,[sʌmbʌl],nom,personne importune,Moo di samaw sambal.
samp,[sʌmp],verbe transitif,"ficher en terre, se ficher en terre",Samp na bant.
sampal,[sʌmpʌl],verbe transitif,faire des libations en dressant un autel,Dafa feebar moo tax ñu bëgg ko sampal.
sanax,[sʌnʌx],verbe intransitif,,
sanc,[sʌɲc],verbe transitif,"fonder, élire domicile, emménager",Sëriñ Bambaa sanc Tuubaa.
sanc,[sʌɲc],nom,"fondation, nouvelle demeure",Goxu Angal-Muus sanc bu bees la.
sang,[sʌŋg],nom,maître par rapport au serviteur,Sama sang ñów na.
sang,[sʌŋg],verbe transitif,"baigner, doucher",Dafay sang doomam.
sank,[sʌŋk],nom,constipation,Garab gii baax na ci sank.
sank,[sʌŋk],verbe,être constipé,Abdu dafa sank.
sankilo,[sʌŋkilɔ],nom,"quintal, cent kilos",Santilob ceeb la ko jëndal.
sanqal,[sʌŋqʌl],nom,semoule de mil,May na ma sanqal su bari.
sanqaleñ,[sʌŋqʌleɲ],nom,,
sanqaleñ,[sʌŋqʌleɲ],nom,,
sanqaleeñ,[sʌŋqʌle:ɲ],nom,petite fourmi attirée par le sucre,Boyetu suukar baa nga fees dell ag i sanqaleeñ.
sanqaleeñ,[sʌŋqʌle:ɲ],nom,auriculaire,Suma baaraamu sanqaleeñ bi dafay metti.
sant,[sʌnt],verbe intransitif,avoir pour nom de famille,Nu mu sant ?
sant,[sʌnt],verbe transitif,"rendre grâce à, louer, glorifier",Maa ngi sant Yàlla.
sant,[sʌnt],nom,nom de famille,Sant wa ? Seck.
santaane,[sʌnta:ne],verbe transitif,"faire faire, recommander",Lu Yàlla santaane ?
sañ,[sʌɲ],nom,caillot de lait,Soow mi bari nay sañ.
sañ,[sʌɲ],verbe transitif et intransitif,"avoir le droit de, être autorisé à",Bu ma sañoon nga dem.
sañ-sañ,[sʌɲsʌɲ],nom,"droit, autorité reçue",Amuloo benn sañ-sañ ci man.
sañse,[sʌɲse],nom,"changer, porter de beaux atours",Boo koy seeti na nga sañse.
sar,[sʌr],verbe intransitif,aller au delà,Xale bi sar na dem.
sarax,[sʌrʌx],verbe transitif,faire l’aumône à quelqu’un,Sarax naa taalibe bi ñeenti donji suukar.
sarax,[sʌrʌx],nom,"aumône, cérémonie organisée à la suite d’un décès",Yóbbu nañu sarax ca jàkka ja.
saraax /né/,[sʌra:x],coverbe,Entrer brusquement,Dafa né saraax ma dàq ko.
sarbet,[sʌrbet],nom,"serviette de table, de toilette",Am nga sarbet bu rafet.
sarbo,[sʌrbɔ],nom,cordon de garniture,Jëndal ma ñatti meetari sarbo.
sàrdeñ,[sardeɲ],nom,sardines en boîte,Benn potu sàrdeñ la ndékkee.
saret,[sʌret],nom,,
sareet,[sʌre:t],nom,charrette,Sareet bi ngooñ la def.
sargal,[sʌrgʌl],verbe transitif,accueillir avec faste,Sargal na baayam ba mu jóggee Màkka.
saricë,[sʌricə],nom,cadeau-souvenir offert par quelqu’un qui revient d’un voyage,Jox na ma saricë.
sarwet,[sʌrwet],nom,pique-bœuf,Sarwet picc mu weex la.
sarxolle,[sʌrxɔl:e],verbe intransitif,"crier en faisant claquer la langue dans la bouche, honorer par des cris stridents",Naar baa ngi sarxolle.
sarxolle,[sʌrxɔl:e],nom,cris stridents poussés par les femmes,Ay sarxolle lañu ko teeroo.
sas,[sʌs],verbe transitif,"partager, fixer une tâche",Sas na xale yépp.
sas,[sʌs],nom,tâche,Sama sas wi léegi mu jeex.
sas,[sʌs],interjection,employée pour mettre en valeur,Sas ! lii lépp nga ma indil.
sat,[sʌt],verbe transitif,"tailler (calame, crayon etc.…)",Taalibe baa ngi sat i xalima.
sat,[sʌt],verbe transitif,,
satal,[sʌtʌl],verbe transitif,poser le bébé sur ses jambes ou sur un pot pour lui permettre de faire ses besoins,Satalal xale bi.
sattala,[sʌt:ʌlʌ],nom,"bouilloire, pot à lait",Duyal satala gi ba mu fees.
saw,[sʌw],verbe transitif et intransitif,uriner,Sa doom saw na.
sawar,[sʌwʌr],verbe,"avoir de l’ardeur au travail, être actif",Nit ku sawar la.
sawara,[sʌwʌrʌ],nom,,
sawta,[sʌwtʌ],nom,herminette des bûcherons,Sa sawta si ñawul.
sax,[sʌx],nom,ver de terre,Ganaar bëgg na sax.
sax,[sʌx],verbe intransitif,germer,Gerte gi sax na.
sax,[sʌx],adverbe,même,Moom sax ñówul.
sax,[sʌx],verbe,être éternel,Nguuru Yàlla rekk a sax.
sax-sax,[sʌxsʌx],,même,"Moom sax-sax ñówul, dafa yónnee."
saxar,[sʌxʌr],verbe intransitif,fumer,Matt maa ngiy saxar.
saxar,[sʌxʌr],nom,fumée,Saxar su mag laa séen.
saxayaay,[sʌxʌja:j],nom,Repousse d’une graine qui n’a pas été semée,"Boo dee boy, na nga déeg saxayaay si."
saxaar,[sʌxa:r],verbe intransitif,,
saxaar,[sʌxa:r],nom,train,Saxaar gi ñówagul.
saxaar,[sʌxa:r],nom,,
say,[sʌj],nom,fagot,Say wu rëy la yenu.
say,[sʌj],verbe intransitif,"être dans un état de crise épileptique, être hors de soi",Dof baa ngi say.
saytaane,[sʌjta:ne],verbe,,
saytaane,[sʌjta:ne],nom,,
saytu,[sʌjtu],verbe transitif,prendre en tutelle,Maa ko saytu ba mu fereem soow batey.
sàcc,[sac:],verbe,"voler, dérober",Sàcc bi rëcc na.
sàcc,[sac:],nom,voleur,Sàcc bi rëcc na.
sàggan,[sag:ʌn],verbe,être négligent,Danga sàggan ba ñu dog sa ndox mi.
sàgganu,[sag:ʌnu],verbe intransitif,découvrir par négligence les parties intimes du corps,"Defarul, yaa ngi sàgganu."
sàggi,[sag:i],verbe transitif,mettre à nu,Sagam sàggi na ko.
sàjj,[saj:],verbe transitif,piler grossièrement,Dafa sàjj ceeb bi.
sàjj,[saj:],verbe intransitif,commencer à battre (pour le tam-tam),Làmb ji sàjj na.
sàkk,[sak:],verbe transitif,"prélever, se servir",Sàkkleen ci màngo ji.
sàkk,[sak:],verbe transitif,créer,Yàllaa sàkka ñépp.
sàkkara,[sak:ʌrʌ],nom,sexe masculin,Nëbbal sa sàkkara si.
sàkket,[sak:et],verbe transitif et intransitif,Faire une palissade,Sàkket naa ba-noppi.
sàkket,[sak:et],nom,palissade,Sakket wi daanu na.
sakku,[sak:u],verbe transitif,chercher à avoir,Damay sàkku ndimmal.
sàll,[sal:],nom,bec de l’oiseau,"Ndobin, sàll wu gudd la am."
sàllarñi,[sal:ʌrɲi],verbe transitif,retourner (quelque chose),Sàllarñil ngooñ mi.
sàllaaw,[sal:a:w],interjection,D’accord ! entendu !,A ! Maa ngi lay nég.
sàlli,[sal:i],verbe intransitif,perdre sa saveur,"Tuural njaq si, reen yi sàlli nañu."
sàmm,[sam:],verbe transitif,"faire paître, veiller sur",Dafay sàmm i nagam.
sàmm,[sam:],nom,"berger, éleveur",Daawuda ab sàmm la.
sànni,[san:i],verbe transitif,"lancer, jeter",Sànni ma bal bi.
sànd,[sand],nom,mûrier du Sénégal (Morus Mesozygia STAPE),Demal toog ca sànd ga.
sàndarma,[sandʌrmʌ],nom,gendarme,Sàndarma ba yóbbu na ko.
sàng,[saŋg],verbe transitif,couvrir d’une couverture,"Sàngal xale bi, liw na."
sàngam,[saŋgʌm],,tel,Nee ko bés sàngam dinga dem.
sàngara,[saŋgʌrʌ],nom,Boisson alcoolisée,Duma naan sàngara.
sànk,[saŋk],verbe transitif,"faire disparaître, gaspiller",Sànk na xaalisam.
sànkar,[saŋkʌr],verbe,être véreux,Guró gu sànkar nga ma may.
sànke,[saŋke],nom,moustiquaire,Takkal sa sànke.
sànq,[saŋq],adverbe,il y a un instant,Sànq la dem.
sàpp /né/,[sap:],coverbe,avoir beaucoup (de goût),Gerte gi saf na sàpp xorom.
sàppali,[sap:ʌli],verbe transitif,"augmenter la saveur en sucre, en sel",Sàppali naa ñeex mi.
sàppe,[sap:e],nom,rangée de fidèles à la prière,Jàkka ji mën na def juróomi sàppe.
sàppi,[sap:i],verbe transitif,"ne plus avoir de goût pour, ne plus plaire à",Dox bi sàppi na ma.
sàppo,[sap:ɔ],nom,chapeau,Sa sàppo bi jàpp na la.
