mot_vedette,prononciation,catégorie_grammaticale,ex_wol,ex_fra
nampatal,nɐmpɐtɐl,nom,,
nàmpatal,nampɐtɐl,nom,,
nàmptal,[namptʌl],nom,,
nampu,nɐmpu,nom,,
nàmpu,nampu,nom,,
nan,nɐn,,,
nan,[nʌn],conjonction,,
ñan,[ɲʌn],,,
ñañ,,,,
nànd,na:ndə,verbe,,
ñand,,,,
ñand,[ɲʌnd],verbe,,
nàndal,[nandʌl],nom,,
nàndal,[nandʌl],verbe,,
ñandaxiit,,,,
ñandaxiit,[ɲʌndʌxi:t],nom,,
ñandaxit,,,,
ñandaxit,[ɲʌndʌxit],nom,,
nàndite,nanditɛ,nom,,
ñandu,[ɲʌndu],verbe,,
ñang,,,,
ñàng,,,,
ñàng,[ɲaŋg],adjectif,,
nanga,nɐŋgɐ,,,
ñàngal,,,,
nàngam,naŋgɐm,,,
nàngam,[naŋgʌm],nom,,
nangeen,nɐŋgɛ:n,,,
ñàngóor,,,,
ñàngóor,[ɲaŋgo:r],nom,,
nangu,nɐŋgu,adjectif,,
nangu,nɐŋgu,nom,,
nangu,[nʌŋgu],verbe,,
nàngu,naŋgu,verbe,,
nangul,nɐŋgul,verbe,,
ñànjaxeer,,,,
ñankar,,,,
ñankataŋ,,,,
ñànkataŋ,[ɲaŋkʌtʌŋ],nom,,
ñanki,,,,
nàññ,,,,
nàññ,[naɲ:],adverbe,,
nàññi,[naɲ:i],verbe,,
nanoo,nɐnɔ:,,,
nañoo,nɐɲɔ:,,,
nanu,nɐnu,,,
nañu,nɐɲu,,,
napp,[nʌp:],,,
napp,[nʌp:],nom,,
napp,nɐpʰ,verbe,,
nàpp,,,,
ñapp,,,,
ñàpp,,,,
nappaaje,[nʌpa:ɉe],verbe,,
nappaajoo,nɐppa:jɔ:,adjectif,,
nappaje,nɐppɐjɛ,verbe,,
nappkat,nappkɐt',nom,,
ñapp-ñappal,,,,
ñappu,,,,
ñàppu,,,,
naq,nɐq,nom,,
naq,[nʌq],verbe,,
ñaq,,,,
ñaq,[ɲʌq],nom,,
ñaq,[ɲʌq],verbe,,
naqadi,nɐqɐdi,,,
naqadi,[nʌqʌdi],adjectif,,
naqadi-deret,,adjectif,,
naqar,[nʌqʌr],nom,,
naqari,nɐqɐri,,,
naqari,[nʌqʌri],verbe,,
naqari-deret,nɐqɐrifɛrɛt',adjectif,,
naqarlu,nɐqɐrlu,adjectif,,
naqarlu,[nʌqʌrlu],verbe,,
nar,[nʌr],nom,,
nar,[nʌr],verbe,,
ñar,,,,
ñar,[ɲʌr],nom,,
naraale,nɐra:lɛ,verbe,,
ñaral,,,,
ñargaloo,,,,
narugóor,,,,
nas,[nʌs],nom,,
nas,[nʌs],verbe,,
ñas,,,,
nasal,[nʌsʌl],verbe,,
nasaraan,nɐsɐra:n,nom,,
nasax,nɐsɐx,adjectif,,
nasax,nɐsɐx,nom,,
ñasaxndiku,,,,
ñasaxtiku,,,,
ñasaxtiku,[ɲʌsʌxtiku],verbe,,
nasiiru,,,,
nasjudu,,,,
nasta,,,,
nat,,,,
ñata,,,,
nataal,[nʌta:l],nom,,
nataal,[nʌta:l],verbe,,
ñat-ñati,[ɲʌtɲʌti],verbe,,
natt,nɐtʰ,nom,,
natt,[nʌt:],verbe,,
ñatt,,,,
ñatt,[ɲʌt:],numéral,,
nàttable,nattɐblɛ,verbe,,
nattangoo,nɐttɐŋgɔ:,nom,,
ñatteel,[ɲʌt:e:l],nom,,
ñatteel,[ɲʌt:e:l],numéral,,
ñatteel,[ɲʌt:e:l],verbe,,
nattu,[nʌt:u],nom,,
nattu,[nʌt:u],verbe,,
nattukaay,nɐttuka:y,nom,,
naw,[nʌw],nom,,
naw,[nʌw],verbe,,
ñaw,,,,
ñaw,[ɲʌw],adjectif,,
ñaw,[ɲʌw],interjection,,
ñaw,[ɲʌw],nom,,
ñaw,[ɲʌw],verbe,,
nawe,nɐwɛ,nom,,
nawet,[nʌwet],nom,,
nawet,nɐwɛt,verbe,,
nawetaan,nɐwɛta:n,,,
nawetaan,[nʌweta:n],nom,,
nawetal,nɐwɛtɐl,adjectif,,
nawle,[nʌwle],nom,,
ñaw-ñaw,,,,
nax,[nʌx],verbe,,
ñax,,,,
ñax,[ɲʌx],nom,,
naxaafu,,,,
naxante,nɐxɐntɛ,adjectif,,
naxee-mbaay,nɐxɛ:mba:y,nom,,
ñaxetu,,,,
nax-sa-goro,nɐxsɐgɔrɔ,,,
ñaxtu,,,,
nay,[nʌj],adjectif,,
ñay,,,,
ndaa,[nda:],nom,,
ndaag,nda:k,nom,,
ndaakin,nda:kin,nom,,
ndaama,nda:mɐ,adjectif,,
ndaama,[nda:mʌ],nom,,
ndaamal,,,,
ndaanaan,[nda:na:n],nom,,
ndaandaan,,,,
ndaar,,,,
ndaare,,,,
ndaari,nda:ri,nom,,
ndaas,nda:s,nom,,
ndaataatallax,nda:ta:tɐllɐx,adjectif,,
ndab,[ndʌb],nom,,
ndàbb,ndabbə,verbe,,
ndabraan,ndɐbra:n,,,
ndàdde,ndaddɛ,nom,,
ndagaan,ndɐga:n,nom,,
ndagam,,,,
ndagam,[ndʌgʌm],conjonction,,
ndagmaar,,,,
ndaje,[ndʌɉe],nom,,
ndajem-baat,ndɐjɛmba:t',nom,,
ndal,ndɐl,nom,,
ndam,[ndʌm],nom,,
ndambe,ndɐmbɛ,nom,,
ndàmpaay,ndampa:y,nom,,
ndañ,[ndʌɲ],nom,,
ndañ,ndɐɲ,verbe,,
ndànd,ndandə,nom,,
ndàndi,ndandi,nom,,
ndànjaama,ndaɲja:mɐ,nom,,
ndank,ndɐŋkə,,,
ndànk,ndankə,,,
ndànk,[ndaŋk],adverbe,,
ndañtaali,ndɐɲta:li,nom,,
ndàq,ndaqə,,,
ndarakàmm,ndɐrɐjammə,nom,,
ndarang,,,,
ndare,ndɐrɛ,,,
ndarkase,ndɐrkɐsɛ,nom,,
ndaw,ndɐw,,,
ndaw,[ndʌw],adjectif,,
ndaw,[ndʌw],interjection,,
ndaw,[ndʌw],nom,,
ndawal,[ndʌwʌl],nom,,
ndaw-ndawaan,ndɐwndɐwa:n,,,
ndawràbbin,[ndʌwrab:in],nom,,
ndawtal,[ndʌwtʌl],nom,,
ndawtal,[ndʌwtʌl],verbe,,
ndax,[ndʌx],,,
ndax,[ndʌx],conjonction,,
ndaxam,ndɐxɐm,,,
ndaxam,[ndʌxʌm],conjonction,,
ndaxte,ndɐxtɛ,,,
ndaxte,[ndʌxte],conjonction,,
nde,ndɛ,,,
ndé,[nde],conjonction,,
ndéef,nde:f,nom,,
ndeem,ndɛ:m,,,
ndéeñ,nde:ɲ,nom,,
ndeer,ndɛ:r,nom,,
ndeete,ndɛ:tɛ,nom,,
ndéey,nde:y,nom,,
ndegam,ndɛgɐm,,,
ndegam,[ndegʌm],conjonction,,
ndege,ndɛgɛ,,,
ndëgërlaay,ndəgərla:y,nom,,
ndëggu,[ndəg:u],nom,,
ndejoor,[ndeɉɔ:r],nom,,
ndeke,ndɛkɛ,,,
ndeke,[ndeke],adverbe,,
ndekete,ndɛkɛtɛ,,,
ndekete,[ndekete],adverbe,,
ndeketeyoo,,,,
ndëkk,ndəkʰ,nom,,
ndékki,[ndek:i],nom,,
ndékki,[ndek:i],verbe,,
ndekkite,ndɛkkitɛ,nom,,
nde-kon,ndɛkɔn,,,
ndell,ndɛllə,nom,,
ndéll,ndellə,nom,,
ndëll,ndəllə,nom,,
ndëlle,ndəllɛ,adjectif,,
ndëlle,[ndəl:e],nom,,
ndem,ndɛm,nom,,
ndëm,[ndəm],nom,,
ndem-dellu,ndɛmdɛllu,nom,,
ndëmm,[ndəm:],nom,,
ndem-si-Yàlla,ndɛmsiyallɐ,nom,,
ndën,ndən,nom,,
ndend,ndɛndə,nom,,
ndënd,[ndənd],nom,,
ndénéer,ndene:r,nom,,
ndengeñ,ndeŋgəɲ,,,
ndengleer,ndɛŋgəlɛ:r,nom,,
ndëpp,[ndəp:],nom,,
ndëpp,[ndəp:],verbe,,
ndëraan,,,,
ndëraan,[ndəra:n],nom,,
ndés,[ndes],nom,,
ndës,ndəs,nom,,
ndësën,,,,
ndesit,ndɛsit',nom,,
ndéstan,[ndestʌn],nom,,
ndetteel,ndɛttɛ:l,nom,,
ndetteelu,ndɛttɛ:lu,,,
ndéwénal,ndewenɐl,nom,,
ndey,[ndej],nom,,
ndeyale,ndɛyɐlɛ,verbe,,
ndey-dikke,ndɛydikkɛ,nom,,
ndey-ji-seex,ndɛyjisɛ:x,nom,,
ndeyjoor,[ndejɉɔ:r],nom,,
ndeysaan,ndɛysa:n,,,
ndeysaan,[ndejsa:n],interjection,,
ndeyu-mbill,ndɛyumillə,nom,,
ndig,ndik,,,
ndigaale,ndiga:lɛ,nom,,
ndigal,[ndigʌl],nom,,
ndigam,,,,
ndigg,[ndig:],nom,,
ndiig,[ndi:g],nom,,
ndiir,ndi:r,nom,,
ndiiraan,[ndi:ra:n],nom,,
ndijoor,[ndiɉɔ:r],nom,,
ndikkaan,ndikka:n,,,
ndimb,[ndimb],nom,,
ndimbal,ndimbɐl,nom,,
ndimmal,[ndim:ʌl],nom,,
ndimo,[ndimɔ],nom,,
ndiri,,,,
ndo,ndɔ,,,
ndobin,[ndɔbin],nom,,
ndóbin,ndɔbin,nom,,
ndóbinoy,,,,
ndobinu,[ndɔbinu],nom,,
ndodd,[ndɔd:],nom,,
ndof,ndɔf,nom,,
ndog,[ndɔg],nom,,
ndogal,ndɔgɐl,nom,,
ndogu,ndɔgu,nom,,
ndokeel,,,,
ndoket,ndɔkɛt',nom,,
ndokk,[ndɔk:],interjection,,
ndokk,ndɔkʰ,nom,,
ndokkale,[ndɔk:ʌle],interjection,,
ndokkale,ndɔkkɐlɛ,nom,,
ndokkeel,[ndɔk:e:l],verbe,,
ndolleen,ndɔllɛ:n,nom,,
ndollen,ndɔllɛn,nom,,
ndollent,[ndɔl:ent],nom,,
ndomb,,,,
ndombo,[ndɔmbɔ],nom,,
ndombog-tànk,ndɔmbɔgtank',nom,,
ndon,ndɔn,nom,,
ndóndi,ndɔndi,nom,,
ndongamaate,ndɔgɐma:tɛ,nom,,
ndongo,[ndɔŋgɔ],nom,,
ndono,[ndɔnɔ],nom,,
ndoŋ,[ndɔŋ],nom,,
ndóof,,,,
ndóol,ndo:l,,,
ndóol,[ndo:l],adjectif,,
ndoom,,,,
ndoomaar,ndɔma:r,nom,,
ndoorte,ndɔ:rtɛ,,,
ndoorte,[ndɔ:rte],nom,,
ndoote,,,,
ndott,ndɔtʰ,,,
ndox,[ndɔx],nom,,
ndoxaan,ndɔxa:n,verbe,,
ndox-suuf,[ndɔxsu:f],nom,,
ndugg,[ndug:],nom,,
ndugoor,,,,
ndugóor,,,,
ndukkat,,,,
ndull,ndullə,adjectif,,
ndull,ndullə,nom,,
ndulli,ndulli,verbe,,
nduluñ,nduluɲ,verbe,,
ndunqurunq,ndunquruŋqə,nom,,
nduŋ,nduŋ,,,
ndutt,ndutʰ,nom,,
nduur,,,,
ne,nɛ,,,
ne,[ne],verbe,,
né,[ne],conjonction,,
né,[ne],verbe,,
nëb,[nəb],adjectif,,
nëbb,[nəb:],verbe,,
nëbbatu,nəbbɐtu,verbe,,
ñebbe,,,,
ñebbe,[ɲeb:e],nom,,
ñebb-ñebbal,[ɲeb:ɲeb:ʌl],verbe,,
nebbon,nɛbbɔn,nom,,
nëbbu,nəbbu,adjectif,,
nëbbu,[nəb:u],verbe,,
nebedaay,nɛbɛda:y,nom,,
neb-neb,nɛbnɛp,nom,,
ñeb-ñebal,[ɲebɲebʌl],verbe,,
nëc,,,,
ñedd,,,,
ñédd,,,,
ñédd,[ɲed:],verbe,,
ñeddaatu,,,,
ñéddaatu,,,,
nee,[ne],,,
ñee,[ɲe:],,,
ñee,[ɲe:],verbe,,
ñéeblu,,,,
ñéeblu,[ɲe:blu],verbe,,
neefare,nɛ:fɐrɛ,nom,,
néeg,ne:k,,,
néeg,[ne:g],nom,,
néeg,[ne:g],verbe,,
neek,,,,
ñeek,,,,
neekata,nɛ:kɐtɐ,nom,,
ñeel,,,,
neen,[ne:n],adjectif,,
neen,[ne:n],nom,,
ñeen,,,,
neenal,[ne:nʌl],verbe,,
ñeeño,,,,
ñeeño,[ɲe:ɲɔ],nom,,
ñeent,,,,
ñeent,[ɲe:nt],numéral,,
ñeenteel,,,,
ñeenteel,[ɲe:ntel],nom,,
ñeenteel,[ɲe:nte:l],numéral,,
ñeenteel,[ɲe:nte:l],verbe,,
neer,nɛ:r,adjectif,,
neer,[ne:r],nom,,
nees,nɛ:s,,,
nees-tutti,nɛ:stutti,,,
nees-tuut,nɛ:stu:t,,,
ñeetaan,,,,
ñeetaan,[ɲe:ta:n],verbe,,
néew,[ne:w],adjectif,,
néew,[ne:w],nom,,
néewal,[ne:wʌl],verbe,,
néewal-doole,ne:wɐldɔ:lɛ,verbe,,
néew-doole,ne:wdɔ:lɛ,adjectif,,
néew-ji-doole,[ne:wɉidɔ:le],nom,,
neex,[ne:x],adjectif,,
ñeex,,,,
ñeex,[ɲe:x],nom,,
neexal,nɛ:xɐl,nom,,
neexal,nɛ:xɐl,verbe,,
neex-deret,nɛ:xdɛrɛt',adjectif,,
neex-lammeñ,nɛ:xlɐmmɛɲ,adjectif,,
neex-lammiñ,nɛ:xlɐmmiɲ,adjectif,,
neex-xel,nɛ:xxɛl,adjectif,,
neey,nɛ:y,adjectif,,
nef,[nef],verbe,,
ñef,,,,
ñef,[ɲef],nom,,
ñef,[ɲef],verbe,,
ñefe,[ɲefe],nom,,
ñefe,[ɲefe],verbe,,
nég,[neg],verbe,,
ñég,,,,
ñég,[ɲeg],verbe,,
ñëg,,,,
ñëg,[ɲəg],verbe,,
négandiku,negɐndiku,verbe,,
nëgëni,,,,
nëgëni,[nəgəni],adverbe,,
nëgëni-sii,nəgənisi:,,,
neg-negi,nɛgnɛg,verbe,,
nekk,nɛkkə,adjectif,,
nekk,[nek:],verbe,,
nékk,nekʰ,nom,,
nekkaale,[nek:a:le],nom,,
nekkal,nɛkkɐl,verbe,,
nekkale,nɛkkɐlɛ,nom,,
nekkin,nɛkkin,nom,,
nel,nɛl,adjectif,,
nel,[nel],nom,,
nel,[nel],verbe,,
nelaw,[nelʌw],nom,,
nelaw,[nelʌw],verbe,,
nelawaan,[nelʌwa:n],nom,,
ñellarci,,,,
ñeme,,,,
ñemé,[ɲeme],verbe,,
ñemeñ,,,,
nemm,nɛmmə,,,
nemm,nɛmmə,verbe,,
nemmali,nɛmmɐli,,,
nemmat,nɛmmɐt',verbe,,
nemmeeku,[nem:e:ku],verbe,,
nemmiku,[nem:iku],verbe,,
nemm-nemmaaral,nɛmmənɛmma:rɐl,adjectif,,
nen,[nen],nom,,
nen,nɛn,verbe,,
ñend,,,,
ñendaxit,,,,
ñendu,,,,
nene,[nene],nom,,
neneen,nɛnɛ:n,,,
neneen,[nene:n],adverbe,,
ñeneen,,,,
ñenent,,,,
ñenent,[ɲenent],numéral,,
ñengo,,,,
ñengokat,,,,
nenn,nɛnnə,,,
ñenn,,,,
ñéññ,,,,
ñéññ,[ɲeɲ:],verbe,,
nenne,nɛnnɛ,nom,,
nennu,nɛnnu,verbe,,
ñent,,,,
nepp,nɛpʰ,,,
nepp,[nep:],adverbe,,
nëpp,nəppə,verbe,,
ñepp,,,,
ñépp,,,,
ñèpp,,,,
ñëpp,,,,
nëpp-nëppal,nəppənəppɐl,verbe,,
nëq,nəqə,nom,,
nere,[nere],nom,,
nërëm,nərəm,verbe,,
nësër,nəsər,verbe,,
nes-nesi,nɛsnɛsi,adjectif,,
nes-nesi,[nesnesi],verbe,,
nëtëri,nətəri,nom,,
neteto,[netetɔ],nom,,
netetu,[netetu],nom,,
nëtëx,nətəx,,,
ñett,,,,
ñett,[ɲet:],numéral,,
nettali,[net:ʌli],nom,,
nettali,[net:ʌli],verbe,,
nette,,,,
ñetteeku,,,,
ñetteel,[ɲet:eel],nom,,
ñetteel,[ɲet:e:l],numéral,,
ñetteel,[ɲet:e:l],verbe,,
ñetti,[ɲet:i],verbe,,
new,[new],nom,,
ñew,,,,
ñëw,,,,
ñëw,[ɲəw],verbe,,
newi,[newi],adjectif,,
nëwu,nəwu,nom,,
nëww,nəwwə,verbe,,
newwi,nɛwwi,adjectif,,
nëx,[nəx],adjectif,,
nëxit,[nəxit],nom,,
ñey,,,,
ñey,[ɲej],nom,,
ngaa,,,,
ngaaga,ŋga:gɐ,nom,,
ngaaka,ŋga:kɐ,nom,,
ngaakin,ŋga:kin,nom,,
ngaalaama,,,,
ngaam,,,,
ngaañ,ŋga:ɲ,nom,,
ngaana,[ŋga:nʌ],nom,,
ngaaràndu,ŋga:randu,nom,,
ngaaràndu,ŋga:randu,verbe,,
ngaaree,,,,
ngaareew,ŋgarɛ:w,nom,,
ngaax,ŋga:x,nom,,
ngàdd,ŋgaddə,nom,,
ngàdd,ŋgaddə,verbe,,
ngajj,ŋgɐjjə,verbe,,
ngal,ŋgɐl,adjectif,,
ngalam,ŋgɐlɐm,nom,,
ngalanka,,,,
ngale,ŋgɐlɛ,,,
ngàll,ŋgallə,nom,,
ngalla,ŋgɐllɐ,,,
ngalla,[ŋgʌl:ʌ],adverbe,,
ngallax,ŋgɐllɐx,nom,,
ngallax,ŋgɐllɐx,verbe,,
ngalle,,,,
ngàllent,ŋgallɛntə,nom,,
ngan,[ŋgʌn],nom,,
ngañ,ŋgɐɲ,nom,,
ngañaay,[ŋgʌɲa:j],nom,,
ngand,ŋgɐndə,adjectif,,
ngand,ŋgɐndə,nom,,
ngànda,[ŋgandʌ],nom,,
ngande,ŋgɐndɛ,adjectif,,
ngan-gi-nopp,[ŋgʌnginɔp:],nom,,
ngàngoor,ŋgango:r,nom,,
nganj,ŋgɐnjə,nom,,
ngànj,[ŋgaɲɉ],nom,,
ngànj,[ŋgaɲɉ],verbe,,
ngànja,ŋganjɐ,nom,,
ngànnaay,ŋgan:a:j,,,
ngànnay,ŋgannɐy,nom,,
ngànt,[ŋgant],nom,,
ngar,ŋgɐr,nom,,
ngar,ŋgɐr,verbe,,
ngarab,ŋgɐrɐp,nom,,
ngat,,,,
ngato,ŋgɐtɔ,nom,,
ngato,ŋgɐtɔ,verbe,,
ngàttaan,ŋgatta:n,nom,,
ngàtte,ŋgattɛ,nom,,
ngawar,ŋgɐwɐr,nom,,
ngawar,ŋgɐwɐr,verbe,,
ngë,,,,
ngeccel,ŋgɛccɛl,nom,,
ngee,ŋgɛ:,,,
ngéej,,,,
ngeek,,,,
ngeel,ŋgɛ:l,adjectif,,
ngeen,ŋgɛ:n,,,
ngéen,,,,
ngeer,[ŋge:r],nom,,
ngegenaay,[ŋgegena:j],nom,,
ngëjëm,ŋgəjəm,nom,,
ngelaane,ŋgɛla:nɛ,nom,,
ngelabon,ŋgɛlɐbɔn,nom,,
ngelaw,ŋgɛlɐw,adjectif,,
ngelaw,[ngelʌw],nom,,
ngelaw,[ngelʌw],verbe,,
ngelawal,[ngelʌwʌl],verbe,,
ngëlén,ŋgəle:n,nom,,
ngella,ŋgɛllɐ,,,
ngëm,[ŋgəm],nom,,
ngëmadi,ŋgəmɐdi,nom,,
ngemb,[ngemb],nom,,
ngemb,[ŋgemb],verbe,,
ngembal-der,ŋgɛmbɐldɛr,nom,,
ngembu,[ŋgembu],verbe,,
ngémmiñ,ŋgemmiɲ,nom,,
ngen,,,,
ngën,ŋgən,,,
ngënd,ŋgəndə,nom,,
ngëndël,[ŋgəndəl],nom,,
ngéndi,ŋgendi,nom,,
ngeneel,,,,
ngëneel,ŋgənɛ:l,nom,,
ngent,ŋdɛntə,nom,,
ngénte,ŋgentɛ,nom,,
ngénte,ŋgentɛ,verbe,,
ngénté,[ŋgente],nom,,
ngénté,[ŋgente],verbe,,
nger,ŋgɛr,nom,,
ngér,ŋder,nom,,
ngërëm,[ŋgərəm],nom,,
ngéwal,ŋgewɐl,nom,,
ngi,ŋgi,,,
ngigis,[ŋgigis],nom,,
ngii,ŋgi:,,,
ngiir,ŋgi:r,nom,,
ngiiro,ŋgi:rɔ,verbe,,
ngile,ŋgilɛ,,,
ngiñ,ŋgiɲ,nom,,
ngir,ŋgir,,,
ngir,[ŋgir],conjonction,,
ngiró,[ŋgiro],verbe,,
ngirte,ŋgirtɛ,nom,,
ngis,,,,
ngise,[ŋgise],nom,,
ngistal,[ŋgistʌl],nom,,
ngistal,[ŋgistʌl],verbe,,
ngiy,ŋgiy,,,
ngomaar,ŋgɔma:r,nom,,
ngone,ŋgɔnɛ,nom,,
ngonk,ŋgɔnkə,nom,,
ngonku,ŋgɔnku,verbe,,
ngonnal,ŋgɔnnɐl,verbe,,
ngont,[ŋgɔnt],nom,,
ngóob,ngɔ:p,nom,,
ngoog,ŋgɔ:k,,,
ngoogale,ŋgɔ:gɐlɛ,,,
ngoogee,ŋgɔ:gɛ:,,,
ngoogu,ŋgɔ:gu,,,
ngook,,,,
ngoolool,ŋgɔ:lɔ:l,nom,,
ngoon,[ŋgɔ:n],nom,,
ngooñ,[ŋgɔ:ɲ],nom,,
ngóoŋ,ngɔ:ŋ,nom,,
ngóor,,,,
ngóora,ngɔ:rɐ,nom,,
ngóoraal,ngɔ:ra:l,verbe,,
ngoox,ŋgɔ:x,nom,,
ngopp,ŋgɔpʰ,nom,,
ngor,ŋgɔr,nom,,
ngorayook,,,,
ngoro,[ŋgɔrɔ],nom,,
ngoro,ngɔrɔ,verbe,,
ngot,[ŋgɔt],nom,,
ngugem,,,,
ngunu,[ŋgunu],nom,,
ngunul,,,,
ngurbaan,[ŋgurba:n],nom,,
nguri,ŋguri,nom,,
nguufaan,ŋgu:fa:n,verbe,,
nguuka,ŋgunkɐ,nom,,
nguur,[ŋgu:r],nom,,
nguuru,ŋgu:ru,verbe,,
ni,ni,,,
ni,[ni],adverbe,,
ni,[ni],verbe,,
ñi,,,,
ñibbi,,,,
ñibbi,[ɲib:i],verbe,,
nig,,,,
nii,[ni:],,,
ñii,[ɲi:],,,
niib,ni:p,verbe,,
niim,[ni:m],nom,,
ñiim,,,,
ñiim,[ɲi:m],nom,,
ñiimantu,,,,
niin,ni:n,,,
niin,[ni:n],adjectif,,
niinal,ni:nɐl,verbe,,
niini,ni:ni,nom,,
niir,[ni:r],nom,,
niir,[ni:r],verbe,,
ñiir,,,,
ñiir,[ɲi:r],nom,,
ñiiramtaal,[],verbe,,
ñiiramtal,,,,
ñiiramtal,[ɲi:rʌmtʌl],verbe,,
ñiiroo,,,,
niis,[ni:s],adjectif,,
niis,[ni:s],nom,,
niit,[ni:t],nom,,
niit,[ni:t],verbe,,
ñiit,,,,
niitu,ni:tu,nom,,
niitu,[ni:tu],verbe,,
niiw,ni:w,nom,,
nijaay,[niɉa:j],nom,,
niki,niki,,,
nikk,,,,
nile,[nile],,,
ñile,[ɲile],,,
ñime,,,,
nimse,nimsɛ,verbe,,
ñing,,,,
ninki-nanka,niŋkinɐnkɐ,nom,,
niŋ,,,,
nipp,,,,
niroo,nirɔ:,adjectif,,
niroo,[nirɔ:],verbe,,
niroole,nirɔ:lɛ,adjectif,,
niroowaale,[nirɔ:wa:le],nom,,
niru,niru,adjectif,,
niru,[niru],verbe,,
nisar,nisɐr,nom,,
nisar,nisɐr,verbe,,
nit,[nit],nom,,
nitaal,[nita:l],nom,,
nitaal,[nita:l],verbe,,
nite,nitɛ,adjectif,,
niteef,nitɛ:f,nom,,
nitt,nitʰ,,,
nitt,[nit:],numéral,,
niw,[niw],nom,,
niwaakin,,,,
niwi,[niwi],adjectif,,
nja,ɲjɐ,,,
njaab,ɲja:p,nom,,
njaabum,,,,
njaag,,,,
njaago,ɲja:gɔ,nom,,
njaajaan,,,,
njaal,ɲja:l,nom,,
njaalbéen,,,,
nja-àll,ɲjɐʔallə,nom,,
njaaloo,[nɉa:lɔ],nom,,
njaaloo,ɲja:lɔ:,verbe,,
njaam,[nɉa:m],nom,,
njaambaar,ɲja:mba:r,nom,,
njaambur,ɲja:mbur,,,
njaatige,ɲja:tigɛ,nom,,
njaaxaan,,,,
njaaxaanaay,ɲja:xa:na:y,nom,,
njaaxum,ɲja:xum,nom,,
njaay,[nɉa:j],nom,,
njaba,ɲjɐbɐ,nom,,
njaba,ɲjɐbɐ,verbe,,
njabar,ɲjɐbɐr,,,
njabb,[nɉʌb:],nom,,
njaboot,[nɉʌbɔ:t],nom,,
njabur,[nɉʌbur],adjectif,,
njàcc,,,,
njàccar,ɲja:ccɐr,nom,,
njagabaar,[nɉʌgʌba:r],nom,,
njagamaar,ɲjɐgɐma:r,nom,,
njalax,,,,
njalbéen,ɲjɐlbe:n,nom,,
njallweer,ɲjɐllwɛ:r,nom,,
njam,[nɉʌm],nom,,
njamala,[nɉʌmʌlʌ],nom,,
njàmb,ɲjambə,nom,,
njambaan,ɲjɐmba:n,nom,,
njàmbaar,,,,
njàmbal,[nɉambʌl],nom,,
njàmbat,[nɉambʌt],nom,,
njàmbataan,ɲjambɐta:n,adjectif,,
njàmbataan,[nɉambʌta:n],nom,,
njàmbataan,[nɉambʌta:n],verbe,,
njàmpe,[nɉampe],nom,,
njañ,[nɉʌɲ],nom,,
njanaaw,ɲjɐna:w,,,
njáng,,,,
njàng,[nɉaŋg],nom,,
njàngale,ɲjangɐlɛ,nom,,
njaniiw,ɲjɐni:w,nom,,
Njaniiw,[nɉʌni:w],nom,,
njànj,ɲjaɲjə,nom,,
njànkaan,,,,
njañu,ɲjɐɲu,verbe,,
njápp,,,,
njàpp,[nɉap:],nom,,
njàppaan,ɲjappa:n,nom,,
njàppu,[nɉap:u],nom,,
njaq,[nɉʌq],nom,,
njàqare,ɲjaqɐrɛ,nom,,
njar,,,,
njar,[nɉʌr],nom,,
njariñ,[nɉʌriɲ],nom,,
njarte,ɲjɐrtɛ,nom,,
njarum làññ,ɲjɐrumlaɲɲə,nom,,
njarweñ,ɲjɐrwɛɲ,nom,,
njat,,,,
njatt,,,,
njaw,ɲɐw,nom,,
njaxas,ɲjɐxɐs,nom,,
njaxlaf,ɲjɐxlɐf,adjectif,,
njaxnaat,[nɉʌxna:t],nom,,
njébbal,ɲjebɐl,nom,,
njéeréer,[nɉe:re:r],nom,,
njeesa,,,,
njeexital,ɲjɛ:xitɐl,nom,,
njeextal,ɲjɛ:xtɐl,nom,,
njég,ɲjek,nom,,
njëg,[nɉəg],nom,,
njegenaay,[nɉegena:j],nom,,
njéggal,,,,
njëgteef,ɲjəgtɛ:f,,,
njëgtéef,[nɉəgte:f],nom,,
njekk,[nɉek:],nom,,
njëkk,[nɉək:],nom,,
njëkkante,ɲjəkkɐntɛ,,,
njëkkantu,ɲjəkkɐntu,,,
njekkar,[nɉek:ʌr],nom,,
njëkke,ɲjəkkɛ,nom,,
njëkké,[nɉək:e],nom,,
njëkk-jél,ɲjəkʰjel,nom,,
njël,[nɉəl],nom,,
njëlbéen,[nɉəlbe:n],nom,,
njélém,ɲjelem,nom,,
njëlem,,,,
njël-mu-jëkk,[nɉəlmuɉək:],nom,,
njëlu,[nɉəlu],verbe,,
njëmbat,ɲjəmbɐt',nom,,
njëmbët,[nɉəmbət],nom,,
njëm-si-Yàlla,njəmsiyallɐ,nom,,
njénd,ɲjendə,nom,,
njënd,,,,
njériñ,ɲjeriɲ,nom,,
njett,ɲjɛtʰ,verbe,,
nji,[nɉi],nom,,
njiglaay,ɲjigla:y,nom,,
njig-njigéen,ɲjigɲjige:n,nom,,
njigtal,ɲjigtɐl,nom,,
njiit,[nɉi:t],nom,,
njiiteef,ɲji:tɛ:f,nom,,
njiitlaay,ɲji:tla:y,nom,,
njini,,,,
njiyeef,[nɉije:f],nom,,
njobbaxtal,ɲjɔbbɐxtɐl,nom,,
njodom,ɲjɔdɔm,nom,,
